month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
February,2014,2,01-02-2014,28-02-2014,STATE BANK OF INDIA,21605,18303,119013,0,2828880,43254,5114554,194.527,13481.6,119734314,207785904,11149285,529966,15538.3
February,2014,2,01-02-2014,28-02-2014,AXIS BANK LTD,2475,10257,243245,0,1331175,18713,2331375,66.0498,8183.49,13396988,24334979,4252080,106471,6893.26
February,2014,2,01-02-2014,28-02-2014,HDFC BANK LTD,4629,6613,217601,0,5093927,78625,13022434,504.572,37387.1,17295713,28941299,7517528,127306,11237.9
February,2014,2,01-02-2014,28-02-2014,ICICI BANK LTD,3846,7445,276466,9853,3178293,8027,5893540,43.9,14858.6,22055140,30360777,8196491,136700,13286.3
April,2014,4,01-04-2014,30-04-2014,BANK OF BARODA,4255,2124,11707,0,77102,1842,115276,5.9,383.3,15209556,11827763,1381239,50744.9,1626.7
April,2014,4,01-04-2014,30-04-2014,STATE BANK OF INDIA,23326,20736,140628,0,2864512,49527,5831334,231.345,15566.7,123956748,229977715,12460514,587476,18395.6
April,2014,4,01-04-2014,30-04-2014,AXIS BANK LTD,2502,10534,247392,0,1413626,25874,2862284,88.8008,10339.9,13319212,24977967,4777568,121406,7753.1
April,2014,4,01-04-2014,30-04-2014,HDFC BANK LTD,4685,6626,212748,0,5186513,91509,14643830,584.297,42314.7,17602540,31117311,8440338,139090,12738.1
April,2014,4,01-04-2014,30-04-2014,ICICI BANK LTD,3890,7446,290898,10160,3207343,10002,6769295,53.4,17151.1,22452128,32865062,9286189,151723,15278.7
March,2014,3,01-03-2014,31-03-2014,BANK OF BARODA,4187,2067,10998,0,75548,1780,112816,6.1,336,14544809,11957979,1348186,49558.6,1537.5
March,2014,3,01-03-2014,31-03-2014,STATE BANK OF INDIA,23042,20473,135853,0,2858116,52102,5725442,248.18,14998.1,122223125,233020443,12655842,589201,17456.3
March,2014,3,01-03-2014,31-03-2014,AXIS BANK LTD,2495,10427,248482,0,1384836,22936,2616596,81.5389,10301.8,13319675,27298733,4871988,120670,7748.52
March,2014,3,01-03-2014,31-03-2014,HDFC BANK LTD,4666,6590,215524,0,5137406,89997,14879965,584.92,43425.5,17421882,33109642,8762349,148512,13101.9
March,2014,3,01-03-2014,31-03-2014,ICICI BANK LTD,3874,7441,283162,10004,3180205,10039,6711350,56.8,16789.4,22324142,34739105,9468453,158901,15072.4
May,2014,5,01-05-2014,31-05-2014,BANK OF BARODA,4283,2231,12101,0,77354,1842,115276,5.8,383.3,15630694,12246860,1454795,52625.2,1785.3
May,2014,5,01-05-2014,31-05-2014,STATE BANK OF INDIA,23516,20913,144015,0,2892883,49976,6046100,225.668,16433.6,122475099,233427456,12955489,623332,20747.6
May,2014,5,01-05-2014,31-05-2014,AXIS BANK LTD,2530,10290,246433,0,1435549,26339,2850836,92.8156,10599.6,13481986,25921056,4911422,117039,8344.16
May,2014,5,01-05-2014,31-05-2014,HDFC BANK LTD,4710,6671,211704,0,5233313,94159,15218157,600.82,44304.2,17728263,32847342,9215078,148679,14448.8
May,2014,5,01-05-2014,31-05-2014,ICICI BANK LTD,3935,7444,290847,10355,3251207,10246,6635331,55.3492,16063.3,22688915,36793900,9857247,169879,16717
June,2014,6,01-06-2014,30-06-2014,BANK OF BARODA,4317,2337,12360,0,77688,2528,119531,7.46732,298.862,16063987,12005121,1483763,50729.4,1724
June,2014,6,01-06-2014,30-06-2014,STATE BANK OF INDIA,23614,21315,146547,0,2915327,50226,6150831,227.62,16335.2,125909501,227243913,13062587,591998,20015.1
June,2014,6,01-06-2014,30-06-2014,AXIS BANK LTD,2552,10378,244088,0,1461977,26717,2887570,94.4814,9884.4,13702839,25020415,4955722,111597,8101.38
June,2014,6,01-06-2014,30-06-2014,HDFC BANK LTD,4746,6680,210694,0,5283335,95973,15438842,606.218,44247.9,17672996,31696097,9058238,141860,13685.8
June,2014,6,01-06-2014,30-06-2014,ICICI BANK LTD,3972,7475,296605,10534,3265552,11591,7356374,61.6881,17048.6,22952419,33558042,10135342,152681,16605
August,2014,8,01-08-2014,31-08-2014,BANK OF BARODA,4381,2483,11695,0,74906,2599,128037,8.57692,318.052,16630970,12581941,1748991,50892.6,2014.69
August,2014,8,01-08-2014,31-08-2014,STATE BANK OF INDIA,23626,21624,154569,0,2978344,56238,6525979,242.006,16951.5,131205815,239592769,15231114,595468,23302.5
August,2014,8,01-08-2014,31-08-2014,AXIS BANK LTD,2502,10534,239787,0,1510886,29017,3193677,105.366,10062,14244133,30364419,5470623,113698,8866.4
August,2014,8,01-08-2014,31-08-2014,HDFC BANK LTD,4779,6688,164401,0,5415870,100584,16332988,628.267,45266.6,17632382,33470815,10388413,149425,16270.4
August,2014,8,01-08-2014,31-08-2014,ICICI BANK LTD,4074,7500,231423,7207,3275983,12932,7334825,67.2028,17088.5,23520628,35025816,11355409,158088,18132
October,2014,10,01-10-2014,31-10-2014,BANK OF BARODA,4417,2641,12119,0,76303,2588,140569,8.22945,510.906,18278773,13257018,2016361,56859.5,2361.68
October,2014,10,01-10-2014,31-10-2014,STATE BANK OF INDIA,23629,21834,163010,0,2919667,59223,7202826,282.087,19874.9,127209369,249769303,16087715,623047,27577.8
October,2014,10,01-10-2014,31-10-2014,AXIS BANK LTD,2615,10555,240238,0,1503493,30939,3594203,116.454,11070,14648722,26889500,6190567,121848,10509.2
October,2014,10,01-10-2014,31-10-2014,HDFC BANK LTD,4844,6729,212107,0,5570464,111324,17332004,712.663,52290.9,18107790,34257055,11077977,157610,18270.7
October,2014,10,01-10-2014,31-10-2014,ICICI BANK LTD,4145,7674,304844,0,3309061,14659,7818446,76.2955,19020.8,24345178,36058228,12170586,168019,20263.8
September,2014,9,01-09-2014,30-09-2014,BANK OF BARODA,4421,2604,11886,0,75533,2478,120404,7.43804,369.62,17232729,12968107,1726281,53083.2,1849.94
September,2014,9,01-09-2014,30-09-2014,STATE BANK OF INDIA,23629,21762,159158,0,2890390,58593,6472031,277.416,16966.2,126864109,246078098,14522570,614302,21467.3
September,2014,9,01-09-2014,30-09-2014,AXIS BANK LTD,2586,10560,239459,0,1538379,30415,3247349,110.445,10580.1,14445286,25318145,5509526,113735,8644.43
September,2014,9,01-09-2014,30-09-2014,HDFC BANK LTD,4808,6707,209376,0,5490084,107524,15866931,679.975,43783.1,17897406,31982274,9590095,144261,14359.8
September,2014,9,01-09-2014,30-09-2014,ICICI BANK LTD,4110,7629,301621,7201,3318158,13058,7245528,66.1369,17116.4,23936756,33853982,10747245,154290,16740.4
July,2014,7,01-07-2014,31-07-2014,BANK OF BARODA,4357,2448,12353,0,74338,2418,124823,7.07362,322.454,14463778,12514854,1662569,52102,1892.67
July,2014,7,01-07-2014,31-07-2014,STATE BANK OF INDIA,23623,21474,126831,0,2947973,53392,6374279,238.466,16565.3,128439885,241814460,14754039,618556,21742
July,2014,7,01-07-2014,31-07-2014,AXIS BANK LTD,2566,10348,246433,0,1476979,28604,3282917,99.9314,10495.3,13968338,25887754,5313202,115515,8702.15
July,2014,7,01-07-2014,31-07-2014,HDFC BANK LTD,4756,6676,210009,0,5339608,97404,16341415,614.135,45339.7,17416309,32461106,9563648,145126,14586.8
July,2014,7,01-07-2014,31-07-2014,ICICI BANK LTD,4010,7522,304866,10773,3276132,11777,7416850,61.1421,17146.4,23285333,34522995,10845364,156162,17453.8
November,2014,11,01-11-2014,30-11-2014,BANK OF BARODA,4435,2713,12368,0,76960,2814,128831,8.54857,405.987,19672508,12616483,1960198,53024.9,2019.5
November,2014,11,01-11-2014,30-11-2014,STATE BANK OF INDIA,23629,21819,169033,0,2962224,102269,5044316,694.624,14420.3,138301010,234842234,15380216,600485,22705
November,2014,11,01-11-2014,30-11-2014,AXIS BANK LTD,2599,10359,241453,0,1532528,30400,3206553,114.528,10070.7,14755200,24448313,5661028,113583,8500.31
November,2014,11,01-11-2014,30-11-2014,HDFC BANK LTD,4848,6743,215942,0,5654492,108816,15930826,694.779,46185.3,18308814,31301968,10693666,147862,16236.3
November,2014,11,01-11-2014,30-11-2014,ICICI BANK LTD,4140,7821,303450,0,3281855,13958,7379424,74.6873,17395.2,24811685,33169786,11653083,157039,18119.5
December,2014,12,01-12-2014,31-12-2014,BANK OF BARODA,4497,2812,12562,0,77879,2846,140841,9.69401,540.105,21139326,13228096,2030200,54972.2,2140.55
December,2014,12,01-12-2014,31-12-2014,STATE BANK OF INDIA,23629,21925,181310,0,3009541,103721,5995692,672.02,16756.2,147521342,248969377,16240872,620170,24327.1
December,2014,12,01-12-2014,31-12-2014,AXIS BANK LTD,2620,10254,243334,0,1587348,36933,3842866,138.206,12336.5,14880856,24571696,6210916,115344,9627.87
December,2014,12,01-12-2014,31-12-2014,HDFC BANK LTD,4868,6765,235485,0,5748412,124415,18009719,758.067,52251.5,20099155,31614787,11019007,151265,17086.4
December,2014,12,01-12-2014,31-12-2014,ICICI BANK LTD,4162,7929,198452,0,3279651,16077,8494381,79.9528,20186.8,25214856,34142348,12248909,161642,19639
January,2015,1,01-01-2015,31-01-2015,BANK OF BARODA,4590,2899,12714,0,79317,2826,142413,9.36683,395.025,22620927,13522113,2124632,56155.3,2219.42
January,2015,1,01-01-2015,31-01-2015,STATE BANK OF INDIA,23629,22103,185440,0,3058673,64780,7422408,282.251,19575.6,151116000,252938382,15917946,641664,24236.9
January,2015,1,01-01-2015,31-01-2015,AXIS BANK LTD,2636,9729,244956,0,1630021,37344,3845907,144.615,12961.6,14948668,24350996,6154646,117422,9746.81
January,2015,1,01-01-2015,31-01-2015,HDFC BANK LTD,4887,6735,239910,0,5842913,126109,17947247,752.465,53780.1,20885249,31439384,11151245,152379,17633.1
January,2015,1,01-01-2015,31-01-2015,ICICI BANK LTD,4179,8043,225019,0,3293842,15946,8143616,80.1935,19527.3,26727257,33992002,12793751,162789,20172.1
February,2015,2,01-02-2015,28-02-2015,BANK OF BARODA,4661,2997,12991,0,80536,2963,126203,10.306,354.676,23978451,13180924,1921920,54859,1911.15
February,2015,2,01-02-2015,28-02-2015,STATE BANK OF INDIA,23629,21985,190218,0,3101198,60610,6621420,264.306,18075,156616049,239025108,14813419,449631,5628.23
February,2015,2,01-02-2015,28-02-2015,AXIS BANK LTD,2646,9722,242925,0,1673219,33897,3435410,134.775,12054.8,15375158,22156393,5510461,108955,8347.36
February,2015,2,01-02-2015,28-02-2015,HDFC BANK LTD,4932,6747,241887,0,5931042,110929,15602279,687.941,46500.6,20794575,29431449,10288412,143060,15234.8
February,2015,2,01-02-2015,28-02-2015,ICICI BANK LTD,4190,8117,225143,0,3308259,15328,7275279,76.8721,17276.8,27260477,31596350,11294934,151696,17021.6
March,2015,3,01-03-2015,31-03-2015,BANK OF BARODA,4803,3227,13651,0,82535,2985,140514,10.6605,399.07,25345978,14667943,2174710,60265.7,2119.94
March,2015,3,01-03-2015,31-03-2015,STATE BANK OF INDIA,16384,29118,200878,0,3158032,75158,7621279,344.051,21342.8,160667620,258184051,16509423,636593,22374
March,2015,3,01-03-2015,31-03-2015,AXIS BANK LTD,2662,9693,248786,0,1736892,39918,3975918,158.395,14169,14303201,24110090,6242742,118671,9667.59
March,2015,3,01-03-2015,31-03-2015,HDFC BANK LTD,5015,6751,244991,0,5973188,134345,17970090,824.743,53190.1,21630195,32621787,11582587,159472,17067
March,2015,3,01-03-2015,31-03-2015,ICICI BANK LTD,4217,8234,221663,0,3329101,18640,8578861,94.153,19777.2,27637868,34601905,12703969,166616,19211.1
April,2015,4,01-04-2015,30-04-2015,BANK OF BARODA,4819,3283,14193,0,83771,3269,145705,12.0914,406.573,26290091,14688302,2228409,62103.8,2249.96
April,2015,4,01-04-2015,30-04-2015,STATE BANK OF INDIA,17585,27922,208247,0,3199000,70474,7835632,321.92,21506.6,162062455,258068793,19063649,660463,25514.3
April,2015,4,01-04-2015,30-04-2015,AXIS BANK LTD,2674,9606,246412,0,1769020,40159,4045701,158.298,13324,14312761,23523272,6312204,117175,9792.27
April,2015,4,01-04-2015,30-04-2015,HDFC BANK LTD,5096,6741,243888,0,6023037,133613,18188579,813.415,54004.3,22227105,32041281,12044987,155670,17947.8
April,2015,4,01-04-2015,30-04-2015,ICICI BANK LTD,4255,8358,213594,0,3346174,18697,8435464,96.7182,19603.5,28398921,33524583,12968719,162821,20047
May,2015,5,01-05-2015,31-05-2015,BANK OF BARODA,4832,3355,12319,0,84330,3564,156067,12.5278,469.963,26893025,15397765,2520427,64379.6,2415.89
May,2015,5,01-05-2015,31-05-2015,STATE BANK OF INDIA,17553,28329,211666,0,3242563,70508,8275635,321.346,22571,165488040,263711689,21642228,681033,27237.1
May,2015,5,01-05-2015,31-05-2015,AXIS BANK LTD,2682,9593,245614,0,1777760,40115,4216678,160.88,13959.1,13300621,24456580,6721113,121155,10577.7
May,2015,5,01-05-2015,31-05-2015,HDFC BANK LTD,5160,6747,247701,0,6125419,137924,19313259,826.712,56503.3,22762592,34009521,13368953,165535,19761.7
May,2015,5,01-05-2015,31-05-2015,ICICI BANK LTD,4284,8444,206712,0,3340121,19564,8692136,107.479,20585.8,28644105,35281362,14265941,171125,21453.5
June,2015,6,01-06-2015,30-06-2015,BANK OF BARODA,4861,3430,12766,0,85706,3891,149845,14.1519,363.731,27450308,15105866,2399951,62138.1,2243.74
June,2015,6,01-06-2015,30-06-2015,STATE BANK OF INDIA,17953,28446,215942,0,3270386,66360,8442109,294.656,21975.6,163035039,257195206,21290052,630046,25624.3
June,2015,6,01-06-2015,30-06-2015,AXIS BANK LTD,2684,9495,249312,0,1801473,40499,4463680,0,0,14418177,23289966,6988949,113537,10332.3
June,2015,6,01-06-2015,30-06-2015,HDFC BANK LTD,5202,6760,251465,0,6239680,139556,19670942,828.352,56706.7,23241546,32869241,12706599,155617,17898
June,2015,6,01-06-2015,30-06-2015,ICICI BANK LTD,4315,8496,204281,0,3357422,20929,8523100,106.301,20192.5,29686431,33055029,13243036,158926,19656.2
August,2015,8,01-08-2015,31-08-2015,BANK OF BARODA,5855,3641,15810,0,91278,3942,172571,13.7874,402.172,28485304,16395392,2792503,63896.3,2746.39
August,2015,8,01-08-2015,31-08-2015,STATE BANK OF INDIA,18747,28664,231622,0,3360708,74198,8819383,339.72,23299.8,170814933,278213595,23944805,658945,30333.3
August,2015,8,01-08-2015,31-08-2015,AXIS BANK LTD,2675,9560,248711,0,1902173,44558,4692069,169.918,14459.9,15076804,24456958,7449680,115338,11241.5
August,2015,8,01-08-2015,31-08-2015,HDFC BANK LTD,5301,6474,262020,0,6481871,149933,21124152,854.013,63044,24110197,34499960,14675523,163017,21588.8
August,2015,8,01-08-2015,31-08-2015,ICICI BANK LTD,4357,8561,203682,0,3393431,24355,8888931,122.001,21245.2,30219855,35069417,14842220,165157,22509.6
July,2015,7,01-07-2015,31-07-2015,BANK OF BARODA,5660,3593,14392,0,88512,4031,165815,14.1866,380.071,28051717,15983854,2779780,64412.5,2661.79
July,2015,7,01-07-2015,31-07-2015,STATE BANK OF INDIA,18297,28560,226753,0,3312572,71055,8661257,326.149,22792.6,167057762,273511593,24193734,675130,30384.4
July,2015,7,01-07-2015,31-07-2015,AXIS BANK LTD,2675,9487,247945,0,1871773,42103,4613597,164.655,14362.8,14677728,24180961,7272069,116716,11030.9
July,2015,7,01-07-2015,31-07-2015,HDFC BANK LTD,5237,6633,257020,0,6359743,145383,20769485,850.303,59894.4,23752876,33904035,14078791,161376,20509.4
July,2015,7,01-07-2015,31-07-2015,ICICI BANK LTD,4340,8530,204349,0,3373787,22297,8837844,112.963,21243.3,29907678,34599307,14155528,165501,21731.1
September,2015,9,01-09-2015,30-09-2015,BANK OF BARODA,5940,3704,17003,0,93508,4319,163132,16.0531,369.79,28902846,15844263,2570545,62552.4,2346.09
September,2015,9,01-09-2015,30-09-2015,STATE BANK OF INDIA,18760,28866,239397,0,3406379,71564,8398457,333.689,21963.5,173994213,271357115,22866177,639198,26086.3
September,2015,9,01-09-2015,30-09-2015,AXIS BANK LTD,2707,9645,250742,0,1980176,45855,4794778,177.775,14575.4,15173625,23587925,6799562,112275,9584.08
September,2015,9,01-09-2015,30-09-2015,HDFC BANK LTD,5289,6397,265535,0,6599465,151166,19735193,863.953,58977.5,24511734,33132693,13671851,157823,18883.4
September,2015,9,01-09-2015,30-09-2015,ICICI BANK LTD,4370,8594,202231,0,3407671,23153,8362948,117.032,20004.1,30785458,33275731,13677389,157509,19412.4
October,2015,10,01-10-2015,31-10-2015,BANK OF BARODA,5980,3700,19451,0,97205,5163,186223,18.7119,435.199,29826570,16884773,2772356,68004.3,2739.08
October,2015,10,01-10-2015,31-10-2015,STATE BANK OF INDIA,19033,28824,247105,0,3429467,76443,9651508,359.489,25611.2,176778579,294345842,26045684,700616,33262
October,2015,10,01-10-2015,31-10-2015,AXIS BANK LTD,2765,9675,253342,0,2038140,53134,5051528,206.809,16733.2,16026802,25365988,7456511,122397,11175.8
October,2015,10,01-10-2015,31-10-2015,HDFC BANK LTD,5342,6453,271910,0,6723308,162936,21791455,950.653,67251.6,21962216,36049733,15439307,173201,23162.9
October,2015,10,01-10-2015,31-10-2015,ICICI BANK LTD,4384,8704,200829,0,3433811,26210,9014441,124.509,22099.1,31221757,35914238,14953690,172235,22220.1
November,2015,11,01-11-2015,30-11-2015,BANK OF BARODA,6013,3760,24286,0,100941,5630,188543,20.6088,460.107,30634886,16417583,2764127,69023.3,3102.33
November,2015,11,01-11-2015,30-11-2015,STATE BANK OF INDIA,19151,29129,254051,0,3470520,74427,9245120,355.236,25010.5,178887041,282617519,25813901,686096,35466.3
November,2015,11,01-11-2015,30-11-2015,AXIS BANK LTD,2806,9774,255669,0,2080631,50102,4832915,199.807,15851.7,16030475,24290510,7374657,119918,12109.9
November,2015,11,01-11-2015,30-11-2015,HDFC BANK LTD,5357,6436,276362,0,6156259,154588,20927939,908.616,65099.2,26070506,34616522,15142830,170275,23828
November,2015,11,01-11-2015,30-11-2015,ICICI BANK LTD,4408,8840,200927,0,3469994,26712,9340191,132.612,23799,31312940,33519598,15057967,163187,24256.5
December,2015,12,01-12-2015,31-12-2015,BANK OF BARODA,6033,3807,27498,0,104551,6106,200236,21.038,464.886,31128170,17191866,3049577,69452.5,2978.81
December,2015,12,01-12-2015,31-12-2015,STATE BANK OF INDIA,19413,29196,270307,0,3468033,82029,9714865,377.961,24923.1,181510063,302139364,29614338,705906,33804.1
December,2015,12,01-12-2015,31-12-2015,AXIS BANK LTD,2832,9799,198982,0,2171507,55035,5076768,218.068,18240,15421431,24501496,8080803,120079,12240
December,2015,12,01-12-2015,31-12-2015,HDFC BANK LTD,5378,6464,280262,0,6281368,164417,21842928,950.359,62589.8,26732356,35961750,16094043,175585,23855.3
December,2015,12,01-12-2015,31-12-2015,ICICI BANK LTD,4435,8937,201000,0,3502517,25948,9447432,128.277,23554.4,31440440,35423793,15614623,171813,23832.5
January,2016,1,01-01-2016,31-01-2016,BANK OF BARODA,6055,3865,30369,0,108029,6476,210126,23.3301,498.377,31409192,16765491,3040289,69968.8,2909.07
January,2016,1,01-01-2016,31-01-2016,STATE BANK OF INDIA,19783,29216,289118,0,3523867,75435,9698167,350.487,25530.9,184348293,302493211,29712176,706068,32828.5
January,2016,1,01-01-2016,31-01-2016,AXIS BANK LTD,2856,9874,258030,0,2242618,83554,5382668,211.619,18755.8,15362908,24721501,8274094,121554,12454.2
January,2016,1,01-01-2016,31-01-2016,HDFC BANK LTD,5393,6450,276968,0,7057172,163918,22300619,921.661,63420.2,27477884,35780807,15948974,173675,23510.4
January,2016,1,01-01-2016,31-01-2016,ICICI BANK LTD,4481,9003,201047,0,3552007,25292,9547206,128.427,23783.3,31725554,35504041,16354859,171631,24399.8
February,2016,2,01-02-2016,29-02-2016,BANK OF BARODA,6073,3952,33908,0,110729,6249,199324,22.081,453.677,31869935,16842452,2971260,69087,2490.39
February,2016,2,01-02-2016,29-02-2016,STATE BANK OF INDIA,20043,29261,296310,0,3576151,77216,9494536,359.568,25113.4,186970791,296735275,28469070,689132,29445.7
February,2016,2,01-02-2016,29-02-2016,AXIS BANK LTD,2881,9928,258250,0,2306199,90181,5067194,229.098,19422.2,15704449,23359279,7553297,116709,10912.8
February,2016,2,01-02-2016,29-02-2016,HDFC BANK LTD,5419,6443,281642,0,7176843,164695,21154514,941.481,60588.5,28091223,33957527,15531187,164885,20620.2
February,2016,2,01-02-2016,29-02-2016,ICICI BANK LTD,4525,9076,200756,0,3601780,24630,9212028,120.164,22823.4,31963942,33318381,15012210,161073,20948.7
March,2016,3,01-03-2016,31-03-2016,BANK OF BARODA,6117,3993,35236,0,113554,7242,221164,25.367,492.861,32160671,17551603,3155674,72112.9,2566.58
March,2016,3,01-03-2016,31-03-2016,STATE BANK OF INDIA,20403,29321,302119,0,3620042,84905,10132120,405.767,26973.3,189341852,308423127,30331224,702059,29956.3
